periodo,gg,xp,xmp
1962,10928579321,236655241.3,1159909437
1963,12281123654,216542987.1,953789951.5
1964,13782288267,239273927.8,877415919.4
1965,18475435564,240983624.9,1054888230
1966,20212879404,232952836.1,1101244703
1967,21547471953,219235632,704251976.3
1968,23698050284,182924635.3,783722918.8
1969,25039174054,207354751.7,879374250.1
1970,27311483233,198260369,565374261.3
1971,30166738658,150899470,437880124.9
1972,33828252514,80912715.02,673495918.5
1973,36977829786,81922792.18,657405589.2
1974,39425926094,439037920.7,767362055.1
1975,44419809104,1449396341,666726001.1
1976,47468360888,1670773620,982962566.9
1977,47463358251,2840387260,629045034.5
1978,51946694299,4627900852,883301215.4
1979,56925152510,9776780665,917480969.3
1980,62358433858,27484517729,956664417.4
1981,68763894452,35057458531,875081309.9
1982,70159352425,36496139895,580539788.5
1983,72069804150,31569168422,459399816.7
1984,76817168295,32797198163,702405391.1
1985,77512951812,28430514822,403034494.4
1986,78660362336,12273764111,470115331.1
1987,77712223544,19437931884,629979676.5
1988,78709693901,16082118185,915290541.1
1989,80438780492,18732674917,1093388034
1990,83120872685,23194458411,962639906.1
1991,87630730290,18801421825,1080102881
1992,89260207937,11655035011,899582314
1993,99171788201,10210545631,891428035.8
1994,1.01E+11,9941488741,1045818550
1995,1.02E+11,10977828388,1441348147
1996,1.02E+11,15188440658,1474889385
1997,1.04E+11,14383783403,1436603276
1998,1.03E+11,8971762073,1180989317
1999,1.05E+11,12316718303,1076826664
2000,1.07E+11,19878836680,1139415975
2001,1.04E+11,15278532778,1039574493
2002,1.03E+11,17028090709,1013895186
2003,1.02E+11,21701459494,990867050.3
2004,1.05E+11,26465118174,1131618978
2005,1.08E+11,35136924030,1184557767
2006,1.12E+11,41430645366,1067413296
2007,1.14E+11,44567936835,1008230539
2008,1.18E+11,51652051968,1079722773
2009,1.20E+11,31423776468,804943340.1
2010,1.23E+11,41888882507,1077384327
2011,1.26E+11,55871635201,1303466558
2012,1.30E+11,51258868013,1386129658
2013,1.31E+11,46815206749,1279625174
2014,1.34E+11,39393357899,1214062688
2015,1.38E+11,21302533377,1078838144
