periodo,cp,igae,tcr
1993/01,55.46,60.41,79.78
1993/02,54.6,61.02,78.81
1993/03,59.42,63.94,74.93
1993/04,57.19,61.87,73.35
1993/05,58.45,63.61,74
1993/06,58.68,62.88,73.28
1993/07,58.13,62.8,71.94
1993/08,57.04,62.03,71.7
1993/09,57.05,62.02,72.25
1993/10,58.58,62.83,71.55
1993/11,59.03,63.62,71.31
1993/12,64.38,66.12,69.56
1994/01,57.68,63.03,68.21
1994/02,56.56,62.73,68.76
1994/03,60.18,65.79,73.14
1994/04,60.57,65.89,74.52
1994/05,61.26,66.86,73.99
1994/06,62.2,66.64,75.42
1994/07,61.41,64.7,77.51
1994/08,62.21,65.8,76.93
1994/09,61.08,65.76,77.67
1994/10,63.09,66.73,78.62
1994/11,64.54,67.85,78.55
1994/12,65.79,68.07,87.95
1995/01,58.71,65.1,120.4
1995/02,56.18,60.29,120.57
1995/03,59.48,62.93,138.2
1995/04,56.41,59.24,123.32
1995/05,58.02,61.18,112.05
1995/06,58.55,61.08,113.98
1995/07,57.48,59.78,110.08
1995/08,58.62,61.07,107.09
1995/09,57,60.85,105.81
1995/10,58.8,60.22,111.07
1995/11,59.63,63.06,124.03
1995/12,62.35,65.41,119.58
1996/01,59.27,64.6,112.46
1996/02,57.37,63.25,110.13
1996/03,60.44,65,109.21
1996/04,58.64,63.82,104.57
1996/05,60.75,66.57,102.05
1996/06,59.76,65.58,101.76
1996/07,61.43,65.91,101.84
1996/08,60.92,65.36,99.78
1996/09,59.52,65.04,98.36
1996/10,63.74,67.82,98.64
1996/11,63.92,68.56,100.78
1996/12,66.33,69.27,96.32
1997/01,62.27,67.92,92.12
1997/02,60.68,66.02,88.35
1997/03,62.19,67.09,88.85
1997/04,65.43,70.19,87.28
1997/05,65.47,71.25,87.57
1997/06,65.52,70.72,87.56
1997/07,66.38,70.48,85.15
1997/08,65.34,70.03,82.18
1997/09,64.88,70.75,81.74
1997/10,69.15,73.24,82.05
1997/11,68.14,72.76,85.84
1997/12,71.27,73.78,81.48
1998/01,66.35,72.28,79.37
1998/02,64.9,71.27,81.73
1998/03,70.51,75.31,81.48
1998/04,67.98,72.95,80.25
1998/05,70.31,75.14,80.48
1998/06,69.99,74.65,81.74
1998/07,71.01,74.61,80.88
1998/08,69.2,73.48,82.96
1998/09,69.12,73.77,92.93
1998/10,71.9,74.46,94
1998/11,70.87,74.44,90.27
1998/12,74.11,75.68,88.02
1999/01,69.36,74.28,87.68
1999/02,67.57,72.71,84.34
1999/03,73.51,76.99,80.52
1999/04,71.25,74.33,77.22
1999/05,72.87,76.92,75.76
1999/06,72.9,76.56,76.2
1999/07,74.13,76.31,74.24
1999/08,72.63,75.67,75.5
1999/09,72.51,76.25,75.02
1999/10,74.71,76.45,77.03
1999/11,74.69,77.67,74.61
1999/12,78.48,78.05,73.68
2000/01,73.29,77.93,73.2
2000/02,72.53,77.37,71.28
2000/03,77.74,80.36,69.87
2000/04,74.25,77.01,69.88
2000/05,79,82.34,69.14
2000/06,78.54,81.54,72.32
2000/07,78.68,79.63,69.23
2000/08,78.44,81.19,66.66
2000/09,77.55,80.16,65.98
2000/10,81.5,80.81,66.27
2000/11,81.09,80.92,65.62
2000/12,82.06,79.5,65.07
2001/01,77.68,79.42,67.75
2001/02,74.35,76.42,67.07
2001/03,80.84,80.77,65.29
2001/04,76.95,77.53,62.7
2001/05,80.97,81.78,61.25
